,2014,2015,2016,2017,2018,2019
v10,0.3,0.03,0.47,0.99,0.9,0.57
v11,0.64,0.46,0.67,0.01,0.0,0.19
v12,0.11,0.5,0.92,0.02,0.56,0.04
v15,0.81,0.22,0.3,0.02,0.95,0.5
v16,0.55,0.54,0.54,0.75,0.1,0.79
v17,0.6,0.44,0.17,0.99,0.63,0.41
v18,0.67,0.25,0.82,0.68,0.09,0.02
v19,0.9,0.75,0.97,0.91,0.89,0.72
v3,0.59,0.03,0.12,0.85,0.42,0.24
v4,0.18,0.43,0.67,0.78,0.85,0.7
v6,0.06,0.36,0.76,0.12,0.85,0.61
v7,0.14,0.96,0.98,0.83,0.11,0.22
v14,0.967,0.8125,0.9946000000000002,0.9712000000000001,0.8998999999999999,0.7256
v13,0.33,0.2376,0.0918,0.7424999999999999,0.063,0.3239
v8,0.7757200000000001,0.7381,0.986008,0.990298,0.9559999999999998,0.665632
v9,0.9957991000000002,0.888499,0.9965670040000004,0.9927323199999999,0.9953103149999999,0.9072390800000001
v5,0.7724612778520002,0.6558011119,0.9826230384800324,0.9831008310313599,0.9515166611399998,0.6038873632985601
v2,0.8160576970155569,0.9911885084646401,0.9999165905847041,0.9974718843222913,0.99352747426219,0.879502535915422
v1,0.6638000000000001,0.44709999999999994,0.7096,0.9669999999999999,0.913,0.772
v0,0.5416990992789267,0.44316038213454056,0.709540812678906,0.9645553121396555,0.9070905840013795,0.6789759577267058
